Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito
0.005001,-88.052575,-0.000467,0.000070,-0.002416,-0.000121,-0.000000,-0.000001,-0.000183,-0.025710,-0.000003
0.010001,-88.052577,-0.000467,0.000070,-0.002416,-0.000121,-0.000000,-0.000001,-0.000183,-0.025711,-0.000003
0.015001,-88.052579,-0.000467,0.000070,-0.002415,-0.000121,-0.000000,-0.000001,-0.000183,-0.025711,-0.000003
0.020001,-88.052582,-0.000468,0.000070,-0.002415,-0.000120,-0.000000,-0.000001,-0.000183,-0.025712,-0.000003
0.025001,-88.052584,-0.000468,0.000070,-0.002415,-0.000120,-0.000000,-0.000001,-0.000183,-0.025712,-0.000003
0.030001,-88.052586,-0.000468,0.000070,-0.002415,-0.000120,-0.000000,-0.000001,-0.000183,-0.025712,-0.000003
0.035001,-88.052589,-0.000467,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025713,-0.000003
0.040001,-88.052591,-0.000467,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025713,-0.000003
0.045001,-88.052593,-0.000467,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025714,-0.000003
0.050001,-88.052596,-0.000467,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025714,-0.000003
0.055001,-88.052598,-0.000466,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025715,-0.000003
0.060001,-88.052600,-0.000466,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025715,-0.000003
0.065001,-88.052603,-0.000466,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025715,-0.000003
0.070001,-88.052605,-0.000465,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025716,-0.000003
0.075001,-88.052607,-0.000465,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025716,-0.000003
0.080001,-88.052610,-0.000464,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025717,-0.000003
0.085001,-88.052612,-0.000464,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025717,-0.000003
0.090001,-88.052614,-0.000464,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025717,-0.000003
0.095001,-88.052617,-0.000463,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025718,-0.000003
0.100001,-88.052619,-0.000463,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025718,-0.000003
0.105001,-88.052621,-0.000462,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025719,-0.000003
0.110001,-88.052624,-0.000462,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025719,-0.000003
0.115001,-88.052626,-0.000462,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025720,-0.000003
0.120001,-88.052628,-0.000461,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025720,-0.000003
0.125001,-88.052630,-0.000461,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000183,-0.025720,-0.000003
0.130001,-88.052633,-0.000460,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025721,-0.000003
0.135001,-88.052635,-0.000460,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025721,-0.000003
0.140001,-88.052637,-0.000460,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025722,-0.000003
0.145001,-88.052640,-0.000459,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025722,-0.000003
0.150001,-88.052642,-0.000459,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025722,-0.000003
0.155001,-88.052644,-0.000458,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025723,-0.000003
0.160001,-88.052647,-0.000458,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025723,-0.000003
0.165001,-88.052649,-0.000458,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025724,-0.000003
0.170001,-88.052651,-0.000457,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025724,-0.000003
0.175001,-88.052653,-0.000457,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025725,-0.000003
0.180001,-88.052656,-0.000456,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025725,-0.000003
0.185001,-88.052658,-0.000456,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025725,-0.000003
0.190001,-88.052660,-0.000456,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025726,-0.000003
0.195001,-88.052663,-0.000455,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025726,-0.000003
0.200001,-88.052665,-0.000455,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025727,-0.000003
0.205001,-88.052667,-0.000454,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025727,-0.000003
0.210001,-88.052669,-0.000454,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025727,-0.000003
0.215001,-88.052672,-0.000454,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025728,-0.000003
0.220001,-88.052674,-0.000453,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025728,-0.000003
0.225001,-88.052676,-0.000453,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025729,-0.000003
0.230001,-88.052678,-0.000452,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025729,-0.000003
0.235001,-88.052681,-0.000452,0.000070,-0.002414,-0.000120,-0.000000,-0.000001,-0.000184,-0.025729,-0.000003
